Metric	Value
Nb_Discours	8963
Nb_Presidents	1
Nb_Paragraphs	337910
Nb_Topics	10
Execution_Time_Sec	383.11
CPU_Usage_Percent	0.00
Memory_Usage_Percent	2.79
GPU_Usage_Percent	0.00
GPU_Power_Watts	10.65

Topic_ID	Nb_Paragraphs	Top_Words
1	133874	함께 | 되기를 | 이번 | 바랍니다 | 국민의 | 가장 | 되었습니다 | 우리 | 세계 | 있습니다
2	20269	같이 | 여러 | 우리가 | 이러한 | 지금 | 감사합니다 | 것입니다 | 있읍니다 | 우리 | 있는
3	23195	민족의 | 이러한 | 또한 | 노력을 | 더욱 | 위한 | 우리 | 우리는 | 우리의 | 것입니다
4	19077	모든 | 있는 | 것이 | 것이다 | 하는 | 우리가 | 것을 | 것은 | 우리 | 것입니다
5	21138	함께 | 협력을 | 아시아 | 나는 | 새로운 | 평화와 | 지난 | 양국 | 것입니다 | 있습니다
6	26304	더욱 | 대한 | 있는 | 위한 | 위해 | 바랍니다 | 있습니다 | 있도록 | 정부는 | 것입니다
7	28734	이런 | 때문에 | 하는 | 그러나 | 것이 | 대통령 | 것은 | 생각합니다 | 있는 | 있습니다
8	21929	자리에 | 것을 | 귀빈 | 친애하는 | 존경하는 | 바입니다 | 그리고 | 여러분의 | 국민 | 여러분
9	24906	국민의 | 함께 | 있는 | 이제 | 우리는 | 있습니다 | 새로운 | 것입니다 | 우리 | 합니다
10	18484	나는 | 생각합니다 | 위해 | 우리 | 드립니다 | 깊은 | 진심으로 | 것을 | 다시 | 오늘
